"feature","met","total_amount","absolute_target","absolute_held","absolute_shortfall","relative_target","relative_held","relative_shortfall","sol_n"
"Acroteriobatus annulatus",TRUE,1242,621,625,0,0.5,0.503220611916264,0,1
"Acroteriobatus leucospilus",TRUE,161,80.5,83,0,0.5,0.515527950310559,0,1
"Aetobatus ocellatus",TRUE,188,56.4,92,0,0.3,0.48936170212766,0,1
"Aetomylaeus bovinus",TRUE,391,195.5,238,0,0.5,0.608695652173913,0,1
"Apristurus saldanha",TRUE,735,220.5,296,0,0.3,0.402721088435374,0,1
"Bathyraja smithii",TRUE,738,221.4,334,0,0.3,0.452574525745257,0,1
"Bathytoshia lata",TRUE,933,279.9,357,0,0.3,0.382636655948553,0,1
"Carcharhinus albimarginatus",TRUE,10,3,5,0,0.3,0.5,0,1
"Carcharhinus amblyrhynchos",TRUE,23,11.5,13,0,0.5,0.565217391304348,0,1
"Carcharhinus amboinensis",TRUE,231,69.3,91,0,0.3,0.393939393939394,0,1
"Carcharhinus brachyurus",TRUE,1230,369,616,0,0.3,0.500813008130081,0,1
"Carcharhinus brevipinna",TRUE,247,74.1,133,0,0.3,0.538461538461538,0,1
"Carcharhinus leucas",TRUE,117,35.1,68,0,0.3,0.581196581196581,0,1
"Carcharhinus limbatus",TRUE,330,99,194,0,0.3,0.587878787878788,0,1
"Carcharhinus obscurus",TRUE,707,353.5,445,0,0.5,0.629420084865629,0,1
"Carcharhinus plumbeus",TRUE,107,53.5,55,0,0.5,0.514018691588785,0,1
"Carcharias taurus",TRUE,552,276,339,0,0.5,0.614130434782609,0,1
"Centrophorus squamosus",TRUE,515,257.5,258,0,0.5,0.500970873786408,0,1
"Centroscymnus owstonii",TRUE,527,158.1,159,0,0.3,0.301707779886148,0,1
"Cruriraja parcomaculata",TRUE,1646,493.8,785,0,0.3,0.476913730255164,0,1
"Dipturus pullopunctatus",TRUE,1780,534,902,0,0.3,0.506741573033708,0,1
"Dipturus stenorhynchus",TRUE,600,180,255,0,0.3,0.425,0,1
"Etmopterus compagnoi",TRUE,741,222.3,253,0,0.3,0.341430499325236,0,1
"Etmopterus sculptus",TRUE,603,180.9,256,0,0.3,0.424543946932007,0,1
"Galeorhinus galeus",TRUE,1925,962.5,963,0,0.5,0.50025974025974,0,1
"Gymnura natalensis",TRUE,544,163.2,330,0,0.3,0.606617647058823,0,1
"Halaelurus lineatus",TRUE,148,44.4,78,0,0.3,0.527027027027027,0,1
"Halaelurus natalensis",TRUE,649,324.5,331,0,0.5,0.510015408320493,0,1
"Haploblepharus edwardsii",TRUE,687,412.2,413,0,0.6,0.601164483260553,0,1
"Haploblepharus fuscus",TRUE,287,143.5,201,0,0.5,0.700348432055749,0,1
"Haploblepharus pictus",TRUE,332,99.6,214,0,0.3,0.644578313253012,0,1
"Himantura leoparda",TRUE,172,51.6,91,0,0.3,0.529069767441861,0,1
"Himantura uarnak",TRUE,91,45.5,48,0,0.5,0.527472527472527,0,1
"Holohalaelurus regani",TRUE,1940,582,915,0,0.3,0.471649484536082,0,1
"Leucoraja wallacei",TRUE,1610,644,779,0,0.4,0.483850931677019,0,1
"Mobula alfredi",TRUE,80,24,46,0,0.3,0.575,0,1
"Mobula birostris",TRUE,116,58,58,0,0.5,0.5,0,1
"Mobula kuhlii",TRUE,171,85.5,90,0,0.5,0.526315789473684,0,1
"Mustelus mustelus",TRUE,1503,751.5,775,0,0.5,0.515635395874917,0,1
"Mustelus palumbes",TRUE,1794,538.2,890,0,0.3,0.496098104793757,0,1
"Myliobatis aquila",TRUE,810,405,420,0,0.5,0.518518518518518,0,1
"Narke capensis",TRUE,340,102,178,0,0.3,0.523529411764706,0,1
"Neoraja stehmanni",TRUE,294,88.2,141,0,0.3,0.479591836734694,0,1
"Notorynchus cepedianus",TRUE,712,213.6,433,0,0.3,0.60814606741573,0,1
"Pateobatis fai",TRUE,36,10.8,19,0,0.3,0.527777777777778,0,1
"Pateobatis jenkinsii",TRUE,226,67.8,96,0,0.3,0.424778761061947,0,1
"Poroderma africanum",TRUE,570,171,332,0,0.3,0.582456140350877,0,1
"Poroderma pantherinum",TRUE,527,158.1,280,0,0.3,0.531309297912713,0,1
"Raja ocellifera",TRUE,765,459,459,0,0.6,0.6,0,1
"Rajella caudaspinosa",TRUE,887,266.1,473,0,0.3,0.53325817361894,0,1
"Rhinoptera jayakari",TRUE,62,31,32,0,0.5,0.516129032258065,0,1
"Rhizoprionodon acutus",TRUE,77,23.1,37,0,0.3,0.480519480519481,0,1
"Rhynchobatus djiddensis",TRUE,149,74.5,81,0,0.5,0.543624161073825,0,1
