"feature","met","total_amount","absolute_target","absolute_held","absolute_shortfall","relative_target","relative_held","relative_shortfall","sol_n"
"Acroteriobatus annulatus",FALSE,1242,621,501,120,0.5,0.403381642512077,0.0966183574879227,1
"Acroteriobatus leucospilus",TRUE,161,80.5,81,0,0.5,0.503105590062112,0,1
"Aetobatus ocellatus",TRUE,188,56.4,90,0,0.3,0.478723404255319,0,1
"Aetomylaeus bovinus",FALSE,391,195.5,195,0.5,0.5,0.498721227621483,0.00127877237851662,1
"Apristurus microps",FALSE,987,296.1,280,16.1,0.3,0.283687943262411,0.0163120567375886,1
"Apristurus saldanha",TRUE,735,220.5,221,0,0.3,0.300680272108844,0,1
"Bathyraja smithii",TRUE,738,221.4,258,0,0.3,0.349593495934959,0,1
"Bathytoshia brevicaudata",TRUE,784,235.2,377,0,0.3,0.480867346938776,0,1
"Bathytoshia lata",TRUE,933,279.9,404,0,0.3,0.433011789924973,0,1
"Carcharhinus albimarginatus",TRUE,10,3,8,0,0.3,0.8,0,1
"Carcharhinus amblyrhynchos",TRUE,23,11.5,18,0,0.5,0.782608695652174,0,1
"Carcharhinus amboinensis",TRUE,231,69.3,95,0,0.3,0.411255411255411,0,1
"Carcharhinus brachyurus",TRUE,1230,369,482,0,0.3,0.391869918699187,0,1
"Carcharhinus brevipinna",TRUE,247,74.1,103,0,0.3,0.417004048582996,0,1
"Carcharhinus humani",TRUE,63,18.9,32,0,0.3,0.507936507936508,0,1
"Carcharhinus leucas",TRUE,117,35.1,58,0,0.3,0.495726495726496,0,1
"Carcharhinus limbatus",TRUE,330,99,167,0,0.3,0.506060606060606,0,1
"Carcharhinus obscurus",FALSE,707,353.5,336,17.5,0.5,0.475247524752475,0.0247524752475248,1
"Carcharhinus plumbeus",TRUE,107,53.5,54,0,0.5,0.504672897196262,0,1
"Carcharias taurus",FALSE,552,276,270,6,0.5,0.489130434782609,0.0108695652173913,1
"Centrophorus squamosus",FALSE,515,257.5,217,40.5,0.5,0.421359223300971,0.0786407766990291,1
"Centroscyllium fabricii",TRUE,445,133.5,161,0,0.3,0.361797752808989,0,1
"Centroscymnus coelolepis",FALSE,699,209.7,194,15.7,0.3,0.277539341917024,0.0224606580829757,1
"Centroscymnus owstonii",TRUE,527,158.1,196,0,0.3,0.371916508538899,0,1
"Centroselachus crepidater",TRUE,486,145.8,188,0,0.3,0.386831275720165,0,1
"Cirrhigaleus asper",TRUE,448,134.4,174,0,0.3,0.388392857142857,0,1
"Cruriraja parcomaculata",TRUE,1646,493.8,504,0,0.3,0.306196840826245,0,1
"Dasyatis chrysonota",TRUE,773,231.9,360,0,0.3,0.465717981888745,0,1
"Deania calcea",TRUE,825,247.5,262,0,0.3,0.317575757575758,0,1
"Dipturus pullopunctatus",FALSE,1780,534,519,15,0.3,0.291573033707865,0.00842696629213483,1
"Dipturus stenorhynchus",TRUE,600,180,209,0,0.3,0.348333333333333,0,1
"Etmopterus compagnoi",FALSE,741,222.3,222,0.299999999999983,0.3,0.299595141700405,0.000404858299595119,1
"Etmopterus granulosus",FALSE,781,234.3,234,0.299999999999983,0.3,0.299615877080666,0.000384122919334165,1
"Etmopterus pusillus",TRUE,1093,327.9,328,0,0.3,0.300091491308326,0,1
"Etmopterus sculptus",TRUE,603,180.9,202,0,0.3,0.334991708126036,0,1
"Galeocerdo cuvier",TRUE,164,49.2,83,0,0.3,0.50609756097561,0,1
"Galeorhinus galeus",FALSE,1925,962.5,502,460.5,0.5,0.260779220779221,0.239220779220779,1
"Gymnura natalensis",TRUE,544,163.2,254,0,0.3,0.466911764705882,0,1
"Halaelurus lineatus",TRUE,148,44.4,67,0,0.3,0.452702702702703,0,1
"Halaelurus natalensis",FALSE,649,324.5,324,0.5,0.5,0.499229583975347,0.000770416024653313,1
"Haploblepharus edwardsii",FALSE,687,412.2,343,69.2,0.6,0.499272197962154,0.100727802037846,1
"Haploblepharus fuscus",TRUE,287,143.5,144,0,0.5,0.501742160278746,0,1
"Haploblepharus pictus",TRUE,332,99.6,116,0,0.3,0.349397590361446,0,1
"Himantura leoparda",TRUE,172,51.6,72,0,0.3,0.418604651162791,0,1
"Himantura uarnak",TRUE,91,45.5,46,0,0.5,0.505494505494505,0,1
"Holohalaelurus regani",FALSE,1940,582,537,45,0.3,0.27680412371134,0.0231958762886598,1
"Leucoraja wallacei",FALSE,1610,644,479,165,0.4,0.297515527950311,0.102484472049689,1
"Malacoraja spinacidermis",TRUE,635,190.5,225,0,0.3,0.354330708661417,0,1
"Mobula alfredi",TRUE,80,24,45,0,0.3,0.5625,0,1
"Mobula birostris",TRUE,116,58,58,0,0.5,0.5,0,1
"Mobula kuhlii",TRUE,171,85.5,91,0,0.5,0.532163742690059,0,1
"Mustelus mustelus",FALSE,1503,751.5,516,235.5,0.5,0.343313373253493,0.156686626746507,1
"Mustelus palumbes",FALSE,1794,538.2,471,67.1999999999999,0.3,0.262541806020067,0.0374581939799331,1
"Myliobatis aquila",FALSE,810,405,378,27,0.5,0.466666666666667,0.0333333333333333,1
"Narke capensis",TRUE,340,102,178,0,0.3,0.523529411764706,0,1
"Neoraja stehmanni",TRUE,294,88.2,89,0,0.3,0.302721088435374,0,1
"Neotrygon caeruleopunctata",TRUE,25,7.5,12,0,0.3,0.48,0,1
"Notorynchus cepedianus",TRUE,712,213.6,324,0,0.3,0.455056179775281,0,1
"Pateobatis fai",TRUE,36,10.8,18,0,0.3,0.5,0,1
"Pateobatis jenkinsii",TRUE,226,67.8,114,0,0.3,0.504424778761062,0,1
"Pliotrema warreni",TRUE,893,267.9,375,0,0.3,0.41993281075028,0,1
"Poroderma africanum",TRUE,570,171,262,0,0.3,0.459649122807018,0,1
"Poroderma pantherinum",TRUE,527,158.1,251,0,0.3,0.476280834914611,0,1
"Raja ocellifera",FALSE,765,459,367,92,0.6,0.479738562091503,0.120261437908497,1
"Raja straeleni",FALSE,2131,639.3,562,77.3,0.3,0.263725950258095,0.0362740497419052,1
"Rajella barnardi",TRUE,640,192,226,0,0.3,0.353125,0,1
"Rajella caudaspinosa",TRUE,887,266.1,270,0,0.3,0.304396843291996,0,1
"Rajella dissimilis",TRUE,689,206.7,261,0,0.3,0.378809869375907,0,1
"Rajella leoparda",FALSE,1292,387.6,336,51.6,0.3,0.260061919504644,0.039938080495356,1
"Rajella ravidula",TRUE,537,161.1,218,0,0.3,0.405959031657356,0,1
"Rhinoptera jayakari",TRUE,62,31,32,0,0.5,0.516129032258065,0,1
"Rhizoprionodon acutus",TRUE,77,23.1,33,0,0.3,0.428571428571429,0,1
"Rhynchobatus djiddensis",TRUE,149,74.5,75,0,0.5,0.503355704697987,0,1
"Rostroraja alba",FALSE,1778,889,459,430,0.5,0.258155230596175,0.241844769403825,1
"Scyliorhinus capensis",TRUE,1540,462,546,0,0.3,0.354545454545455,0,1
"Scylliogaleus quecketti",TRUE,24,12,12,0,0.5,0.5,0,1
