"feature","met","total_amount","absolute_target","absolute_held","absolute_shortfall","relative_target","relative_held","relative_shortfall","sol_n"
"Acroteriobatus annulatus",FALSE,1242,621,556,65,0.5,0.447665056360709,0.0523349436392915,1
"Acroteriobatus leucospilus",TRUE,161,80.5,81,0,0.5,0.503105590062112,0,1
"Aetobatus ocellatus",TRUE,188,56.4,80,0,0.3,0.425531914893617,0,1
"Aetomylaeus bovinus",TRUE,391,195.5,219,0,0.5,0.560102301790281,0,1
"Apristurus microps",FALSE,987,296.1,296,0.0999999999999659,0.3,0.299898682877406,0.000101317122593684,1
"Apristurus saldanha",TRUE,735,220.5,248,0,0.3,0.337414965986395,0,1
"Bathyraja smithii",TRUE,738,221.4,259,0,0.3,0.350948509485095,0,1
"Bathytoshia brevicaudata",TRUE,784,235.2,410,0,0.3,0.522959183673469,0,1
"Bathytoshia lata",TRUE,933,279.9,457,0,0.3,0.489817792068596,0,1
"Carcharhinus albimarginatus",TRUE,10,3,5,0,0.3,0.5,0,1
"Carcharhinus amblyrhynchos",TRUE,23,11.5,12,0,0.5,0.521739130434783,0,1
"Carcharhinus amboinensis",TRUE,231,69.3,85,0,0.3,0.367965367965368,0,1
"Carcharhinus brachyurus",TRUE,1230,369,557,0,0.3,0.452845528455285,0,1
"Carcharhinus brevipinna",TRUE,247,74.1,93,0,0.3,0.376518218623482,0,1
"Carcharhinus humani",TRUE,63,18.9,34,0,0.3,0.53968253968254,0,1
"Carcharhinus leucas",TRUE,117,35.1,60,0,0.3,0.512820512820513,0,1
"Carcharhinus limbatus",TRUE,330,99,151,0,0.3,0.457575757575758,0,1
"Carcharhinus obscurus",TRUE,707,353.5,355,0,0.5,0.502121640735502,0,1
"Carcharhinus plumbeus",TRUE,107,53.5,56,0,0.5,0.523364485981308,0,1
"Carcharias taurus",TRUE,552,276,291,0,0.5,0.527173913043478,0,1
"Centrophorus squamosus",FALSE,515,257.5,254,3.5,0.5,0.493203883495146,0.00679611650485437,1
"Centroscyllium fabricii",TRUE,445,133.5,156,0,0.3,0.350561797752809,0,1
"Centroscymnus coelolepis",TRUE,699,209.7,210,0,0.3,0.300429184549356,0,1
"Centroscymnus owstonii",TRUE,527,158.1,202,0,0.3,0.383301707779886,0,1
"Centroselachus crepidater",TRUE,486,145.8,211,0,0.3,0.434156378600823,0,1
"Cirrhigaleus asper",TRUE,448,134.4,212,0,0.3,0.473214285714286,0,1
"Cruriraja parcomaculata",TRUE,1646,493.8,610,0,0.3,0.370595382746051,0,1
"Dasyatis chrysonota",TRUE,773,231.9,404,0,0.3,0.522639068564036,0,1
"Deania calcea",TRUE,825,247.5,314,0,0.3,0.380606060606061,0,1
"Dipturus pullopunctatus",TRUE,1780,534,628,0,0.3,0.352808988764045,0,1
"Dipturus stenorhynchus",TRUE,600,180,231,0,0.3,0.385,0,1
"Etmopterus compagnoi",TRUE,741,222.3,240,0,0.3,0.323886639676113,0,1
"Etmopterus granulosus",TRUE,781,234.3,278,0,0.3,0.35595390524968,0,1
"Etmopterus pusillus",TRUE,1093,327.9,328,0,0.3,0.300091491308326,0,1
"Etmopterus sculptus",TRUE,603,180.9,244,0,0.3,0.404643449419569,0,1
"Galeocerdo cuvier",TRUE,164,49.2,79,0,0.3,0.481707317073171,0,1
"Galeorhinus galeus",FALSE,1925,962.5,558,404.5,0.5,0.28987012987013,0.21012987012987,1
"Gymnura natalensis",TRUE,544,163.2,299,0,0.3,0.549632352941177,0,1
"Halaelurus lineatus",TRUE,148,44.4,67,0,0.3,0.452702702702703,0,1
"Halaelurus natalensis",TRUE,649,324.5,334,0,0.5,0.514637904468413,0,1
"Haploblepharus edwardsii",FALSE,687,412.2,412,0.199999999999989,0.6,0.599708879184862,0.000291120815138266,1
"Haploblepharus fuscus",TRUE,287,143.5,144,0,0.5,0.501742160278746,0,1
"Haploblepharus pictus",TRUE,332,99.6,122,0,0.3,0.367469879518072,0,1
"Himantura leoparda",TRUE,172,51.6,65,0,0.3,0.377906976744186,0,1
"Himantura uarnak",TRUE,91,45.5,48,0,0.5,0.527472527472527,0,1
"Holohalaelurus regani",TRUE,1940,582,595,0,0.3,0.306701030927835,0,1
"Leucoraja wallacei",FALSE,1610,644,619,25,0.4,0.384472049689441,0.015527950310559,1
"Malacoraja spinacidermis",TRUE,635,190.5,213,0,0.3,0.335433070866142,0,1
"Mobula alfredi",TRUE,80,24,40,0,0.3,0.5,0,1
"Mobula birostris",TRUE,116,58,58,0,0.5,0.5,0,1
"Mobula kuhlii",TRUE,171,85.5,86,0,0.5,0.502923976608187,0,1
"Mustelus mustelus",FALSE,1503,751.5,644,107.5,0.5,0.428476380572189,0.071523619427811,1
"Mustelus palumbes",TRUE,1794,538.2,553,0,0.3,0.3082497212932,0,1
"Myliobatis aquila",TRUE,810,405,423,0,0.5,0.522222222222222,0,1
"Narke capensis",TRUE,340,102,221,0,0.3,0.65,0,1
"Neoraja stehmanni",TRUE,294,88.2,132,0,0.3,0.448979591836735,0,1
"Neotrygon caeruleopunctata",TRUE,25,7.5,12,0,0.3,0.48,0,1
"Notorynchus cepedianus",TRUE,712,213.6,405,0,0.3,0.568820224719101,0,1
"Pateobatis fai",TRUE,36,10.8,17,0,0.3,0.472222222222222,0,1
"Pateobatis jenkinsii",TRUE,226,67.8,102,0,0.3,0.451327433628319,0,1
"Pliotrema warreni",TRUE,893,267.9,472,0,0.3,0.528555431131019,0,1
"Poroderma africanum",TRUE,570,171,286,0,0.3,0.501754385964912,0,1
"Poroderma pantherinum",TRUE,527,158.1,267,0,0.3,0.506641366223909,0,1
"Raja ocellifera",FALSE,765,459,448,11,0.6,0.58562091503268,0.0143790849673203,1
"Raja straeleni",TRUE,2131,639.3,676,0,0.3,0.317221961520413,0,1
"Rajella barnardi",TRUE,640,192,234,0,0.3,0.365625,0,1
"Rajella caudaspinosa",TRUE,887,266.1,267,0,0.3,0.301014656144307,0,1
"Rajella dissimilis",TRUE,689,206.7,245,0,0.3,0.355587808417997,0,1
"Rajella leoparda",FALSE,1292,387.6,387,0.599999999999966,0.3,0.29953560371517,0.000464396284829695,1
"Rajella ravidula",TRUE,537,161.1,207,0,0.3,0.385474860335196,0,1
"Rhinoptera jayakari",TRUE,62,31,32,0,0.5,0.516129032258065,0,1
"Rhizoprionodon acutus",TRUE,77,23.1,37,0,0.3,0.480519480519481,0,1
"Rhynchobatus djiddensis",TRUE,149,74.5,75,0,0.5,0.503355704697987,0,1
"Rostroraja alba",FALSE,1778,889,578,311,0.5,0.325084364454443,0.174915635545557,1
"Scyliorhinus capensis",TRUE,1540,462,676,0,0.3,0.438961038961039,0,1
"Scylliogaleus quecketti",TRUE,24,12,14,0,0.5,0.583333333333333,0,1
"Sphyrna zygaena",TRUE,666,333,367,0,0.5,0.551051051051051,0,1
"Squalus acanthias",TRUE,2123,636.9,696,0,0.3,0.327837965143665,0,1
"Squalus bassi",TRUE,1475,442.5,462,0,0.3,0.313220338983051,0,1
"Stegostoma tigrinum",TRUE,100,30,47,0,0.3,0.47,0,1
"Taeniura lymma",TRUE,9,4.5,6,0,0.5,0.666666666666667,0,1
"Taeniurops meyeni",TRUE,85,25.5,46,0,0.3,0.541176470588235,0,1
"Tetronarce cowleyi",TRUE,1623,486.9,640,0,0.3,0.394331484904498,0,1
"Torpedo fuscomaculata",TRUE,878,263.4,430,0,0.3,0.489749430523918,0,1
"Torpedo sinuspersici",TRUE,135,40.5,63,0,0.3,0.466666666666667,0,1
"Triaenodon obesus",TRUE,27,8.1,12,0,0.3,0.444444444444444,0,1
"Triakis megalopterus",TRUE,569,170.7,253,0,0.3,0.444639718804921,0,1
"Sphyrna lewini",FALSE,669,200.7,128,72.7,0.3,0.191330343796712,0.108669656203288,1
"Acroteriobatus annulatus",FALSE,1242,621,556,65,0.5,0.447665056360709,0.0523349436392915,2
"Acroteriobatus leucospilus",TRUE,161,80.5,81,0,0.5,0.503105590062112,0,2
"Aetobatus ocellatus",TRUE,188,56.4,80,0,0.3,0.425531914893617,0,2
"Aetomylaeus bovinus",TRUE,391,195.5,219,0,0.5,0.560102301790281,0,2
"Apristurus microps",FALSE,987,296.1,296,0.0999999999999659,0.3,0.299898682877406,0.000101317122593684,2
"Apristurus saldanha",TRUE,735,220.5,248,0,0.3,0.337414965986395,0,2
"Bathyraja smithii",TRUE,738,221.4,260,0,0.3,0.35230352303523,0,2
"Bathytoshia brevicaudata",TRUE,784,235.2,410,0,0.3,0.522959183673469,0,2
"Bathytoshia lata",TRUE,933,279.9,457,0,0.3,0.489817792068596,0,2
"Carcharhinus albimarginatus",TRUE,10,3,5,0,0.3,0.5,0,2
"Carcharhinus amblyrhynchos",TRUE,23,11.5,12,0,0.5,0.521739130434783,0,2
"Carcharhinus amboinensis",TRUE,231,69.3,85,0,0.3,0.367965367965368,0,2
"Carcharhinus brachyurus",TRUE,1230,369,557,0,0.3,0.452845528455285,0,2
"Carcharhinus brevipinna",TRUE,247,74.1,92,0,0.3,0.37246963562753,0,2
"Carcharhinus humani",TRUE,63,18.9,34,0,0.3,0.53968253968254,0,2
"Carcharhinus leucas",TRUE,117,35.1,60,0,0.3,0.512820512820513,0,2
"Carcharhinus limbatus",TRUE,330,99,152,0,0.3,0.460606060606061,0,2
"Carcharhinus obscurus",TRUE,707,353.5,355,0,0.5,0.502121640735502,0,2
"Carcharhinus plumbeus",TRUE,107,53.5,55,0,0.5,0.514018691588785,0,2
"Carcharias taurus",TRUE,552,276,291,0,0.5,0.527173913043478,0,2
"Centrophorus squamosus",FALSE,515,257.5,254,3.5,0.5,0.493203883495146,0.00679611650485437,2
"Centroscyllium fabricii",TRUE,445,133.5,156,0,0.3,0.350561797752809,0,2
"Centroscymnus coelolepis",TRUE,699,209.7,210,0,0.3,0.300429184549356,0,2
"Centroscymnus owstonii",TRUE,527,158.1,202,0,0.3,0.383301707779886,0,2
"Centroselachus crepidater",TRUE,486,145.8,211,0,0.3,0.434156378600823,0,2
"Cirrhigaleus asper",TRUE,448,134.4,212,0,0.3,0.473214285714286,0,2
"Cruriraja parcomaculata",TRUE,1646,493.8,611,0,0.3,0.371202916160389,0,2
"Dasyatis chrysonota",TRUE,773,231.9,404,0,0.3,0.522639068564036,0,2
